"Количество лиц, получивших ранения в результате совершения ДТП";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2010";"";"";"";"";"";"";"";"";"";"";"";"2011";"";"";"";"";"";"";"";"";"";"";"2012";"";"";"";"";"";"";"";"";"";"";"";"2013";"";"";"";""
"";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь"
"Ленинградская область";"272.0";"573.0";"811.0";"1043.0";"1392.0";"1784.0";"2388.0";"2863.0";"3251.0";"3649.0";"4034.0";"4380.0";"344.0";"555.0";"776.0";"951.0";"1748.0";"2303.0";"2823.0";"3283.0";"3666.0";"4046.0";"4466.0";"340.0";"601.0";"874.0";"1139.0";"1485.0";"1897.0";"2553.0";"3114.0";"3609.0";"4025.0";"4369.0";"4821.0";"565.0";"826.0";"1072.0";"1517.0";"2074.0"
"г. Санкт-Петербург";"600.0";"1160.0";"1757.0";"2427.0";"3184.0";"3945.0";"4746.0";"5631.0";"6504.0";"7376.0";"8137.0";"8932.0";"552.0";"1039.0";"1555.0";"2139.0";"3729.0";"4574.0";"5419.0";"6337.0";"7186.0";"7892.0";"8875.0";"603.0";"1354.0";"1968.0";"2651.0";"3494.0";"4442.0";"5303.0";"6197.0";"7202.0";"8182.0";"9057.0";"9920.0";"1308.0";"1965.0";"2636.0";"3396.0";"4323.0"
"Мурманская область";"71.0";"149.0";"255.0";"321.0";"422.0";"474.0";"613.0";"697.0";"836.0";"1001.0";"1157.0";"1364.0";"107.0";"174.0";"267.0";"343.0";"512.0";"617.0";"736.0";"878.0";"1062.0";"1230.0";"1385.0";"138.0";"226.0";"308.0";"381.0";"477.0";"547.0";"640.0";"734.0";"862.0";"1004.0";"1160.0";"1292.0";"210.0";"285.0";"366.0";"445.0";"537.0"
"Новгородская  область";"140.0";"227.0";"336.0";"452.0";"658.0";"805.0";"1086.0";"1344.0";"1487.0";"1691.0";"1839.0";"2006.0";"121.0";"216.0";"309.0";"415.0";"769.0";"994.0";"1236.0";"1443.0";"1631.0";"1795.0";"1934.0";"121.0";"217.0";"298.0";"396.0";"581.0";"760.0";"999.0";"1228.0";"1388.0";"1562.0";"1700.0";"1848.0";"186.0";"250.0";"346.0";"500.0";"706.0"
"Псковская область";"103.0";"173.0";"259.0";"394.0";"576.0";"788.0";"1064.0";"1307.0";"1487.0";"1677.0";"1824.0";"1989.0";"109.0";"176.0";"258.0";"387.0";"858.0";"1158.0";"1441.0";"1667.0";"1893.0";"2079.0";"2272.0";"168.0";"282.0";"420.0";"595.0";"782.0";"996.0";"1276.0";"1529.0";"1770.0";"1949.0";"2076.0";"2188.0";"202.0";"290.0";"405.0";"567.0";"798.0"
"Северо-Кавказский фед. округ";"641.0";"1151.0";"1711.0";"2370.0";"3190.0";"3960.0";"4988.0";"5821.0";"6661.0";"7620.0";"8462.0";"9492.0";"642.0";"1201.0";"1729.0";"2442.0";"3987.0";"4873.0";"5781.0";"6677.0";"7616.0";"8447.0";"9536.0";"782.0";"1376.0";"2061.0";"2766.0";"3563.0";"4432.0";"5277.0";"6244.0";"7192.0";"8208.0";"9142.0";"10044.0";"1296.0";"1918.0";"2624.0";"3462.0";"4395.0"
"Ставропольский край";"236.0";"433.0";"612.0";"868.0";"1156.0";"1454.0";"1774.0";"2138.0";"2460.0";"2817.0";"3152.0";"3616.0";"211.0";"415.0";"605.0";"879.0";"1391.0";"1722.0";"2063.0";"2411.0";"2744.0";"3023.0";"3534.0";"293.0";"505.0";"736.0";"1023.0";"1351.0";"1686.0";"2028.0";"2408.0";"2764.0";"3166.0";"3556.0";"3897.0";"487.0";"727.0";"1004.0";"1344.0";"1694.0"
"Республика Ингушетия";"27.0";"32.0";"71.0";"99.0";"137.0";"187.0";"222.0";"249.0";"289.0";"314.0";"343.0";"370.0";"21.0";"39.0";"50.0";"74.0";"129.0";"157.0";"167.0";"200.0";"228.0";"264.0";"304.0";"43.0";"74.0";"93.0";"121.0";"137.0";"175.0";"190.0";"228.0";"283.0";"325.0";"363.0";"386.0";"62.0";"93.0";"132.0";"161.0";"197.0"
"Республика Дагестан";"127.0";"246.0";"393.0";"509.0";"720.0";"925.0";"1220.0";"1356.0";"1575.0";"1806.0";"2000.0";"2209.0";"149.0";"253.0";"372.0";"539.0";"894.0";"1105.0";"1268.0";"1444.0";"1684.0";"1906.0";"2132.0";"191.0";"321.0";"455.0";"602.0";"764.0";"936.0";"1106.0";"1276.0";"1413.0";"1592.0";"1769.0";"1916.0";"271.0";"376.0";"483.0";"616.0";"792.0"
"Кабардино-Балкарская Респ.";"57.0";"111.0";"163.0";"224.0";"281.0";"338.0";"451.0";"540.0";"624.0";"718.0";"808.0";"918.0";"76.0";"136.0";"187.0";"245.0";"417.0";"517.0";"675.0";"791.0";"898.0";"975.0";"1079.0";"72.0";"144.0";"240.0";"312.0";"392.0";"476.0";"566.0";"653.0";"738.0";"836.0";"935.0";"1037.0";"123.0";"195.0";"280.0";"361.0";"464.0"
"Респ. Сев.Осетия - Алания";"58.0";"115.0";"164.0";"232.0";"319.0";"406.0";"502.0";"584.0";"634.0";"713.0";"789.0";"874.0";"71.0";"137.0";"189.0";"251.0";"404.0";"499.0";"584.0";"656.0";"732.0";"804.0";"871.0";"61.0";"135.0";"184.0";"229.0";"323.0";"419.0";"495.0";"620.0";"763.0";"870.0";"967.0";"1102.0";"143.0";"234.0";"344.0";"459.0";"575.0"
"Карачаево-Черкесская Респ.";"95.0";"141.0";"203.0";"294.0";"382.0";"424.0";"520.0";"610.0";"680.0";"802.0";"867.0";"933.0";"77.0";"139.0";"194.0";"268.0";"443.0";"496.0";"570.0";"652.0";"744.0";"822.0";"892.0";"73.0";"114.0";"196.0";"265.0";"340.0";"413.0";"494.0";"599.0";"695.0";"804.0";"898.0";"1008.0";"125.0";"183.0";"237.0";"322.0";"406.0"
"Чеченская Республика";"41.0";"73.0";"105.0";"144.0";"195.0";"226.0";"299.0";"344.0";"399.0";"450.0";"503.0";"572.0";"37.0";"82.0";"132.0";"186.0";"309.0";"377.0";"454.0";"523.0";"586.0";"653.0";"724.0";"49.0";"83.0";"157.0";"214.0";"256.0";"327.0";"398.0";"460.0";"536.0";"615.0";"654.0";"698.0";"85.0";"110.0";"144.0";"199.0";"267.0"
"Южный фед. округ";"1207.0";"2316.0";"3678.0";"5292.0";"7275.0";"9157.0";"11512.0";"14134.0";"16283.0";"18520.0";"20513.0";"22566.0";"1268.0";"2287.0";"3483.0";"5083.0";"9013.0";"11544.0";"14196.0";"16704.0";"19045.0";"20936.0";"23211.0";"1352.0";"2415.0";"3656.0";"5346.0";"7438.0";"9635.0";"12279.0";"14979.0";"17328.0";"19697.0";"21572.0";"23563.0";"2422.0";"3812.0";"5505.0";"7503.0";"9677.0"
"Краснодарский край";"479.0";"909.0";"1371.0";"1933.0";"2628.0";"3195.0";"3997.0";"4935.0";"5687.0";"6481.0";"7304.0";"8099.0";"500.0";"908.0";"1344.0";"1906.0";"3180.0";"4111.0";"5028.0";"5878.0";"6577.0";"7211.0";"8010.0";"438.0";"842.0";"1292.0";"1983.0";"2725.0";"3507.0";"4413.0";"5390.0";"6119.0";"6899.0";"7281.0";"7986.0";"842.0";"1320.0";"1936.0";"2553.0";"3315.0"
"Астраханская область";"84.0";"187.0";"315.0";"434.0";"594.0";"715.0";"832.0";"968.0";"1098.0";"1253.0";"1386.0";"1519.0";"115.0";"196.0";"301.0";"416.0";"824.0";"1045.0";"1262.0";"1525.0";"1785.0";"1966.0";"2140.0";"172.0";"286.0";"408.0";"557.0";"739.0";"918.0";"1177.0";"1387.0";"1667.0";"1890.0";"2072.0";"2234.0";"269.0";"407.0";"585.0";"815.0";"1014.0"
"Волгоградская область";"186.0";"341.0";"540.0";"774.0";"1124.0";"1458.0";"1931.0";"2379.0";"2705.0";"3089.0";"3387.0";"3704.0";"221.0";"395.0";"541.0";"789.0";"1456.0";"1823.0";"2290.0";"2692.0";"3051.0";"3325.0";"3663.0";"218.0";"369.0";"558.0";"782.0";"1129.0";"1478.0";"1851.0";"2258.0";"2657.0";"3088.0";"3476.0";"3819.0";"381.0";"578.0";"832.0";"1212.0";"1571.0"
"Ростовская область";"408.0";"780.0";"1275.0";"1893.0";"2576.0";"3317.0";"4171.0";"5137.0";"5963.0";"6726.0";"7372.0";"8066.0";"372.0";"683.0";"1115.0";"1727.0";"3113.0";"4000.0";"4936.0";"5768.0";"6636.0";"7293.0";"8062.0";"413.0";"699.0";"1116.0";"1620.0";"2313.0";"3068.0";"4001.0";"4925.0";"5706.0";"6480.0";"7232.0";"7845.0";"692.0";"1168.0";"1705.0";"2351.0";"3063.0"
"Республика Адыгея";"25.0";"48.0";"97.0";"149.0";"211.0";"286.0";"347.0";"428.0";"487.0";"577.0";"633.0";"702.0";"38.0";"61.0";"100.0";"139.0";"267.0";"334.0";"391.0";"456.0";"512.0";"576.0";"676.0";"49.0";"90.0";"116.0";"161.0";"212.0";"272.0";"332.0";"386.0";"444.0";"493.0";"565.0";"644.0";"81.0";"128.0";"163.0";"208.0";"252.0"
"Республика Калмыкия";"25.0";"51.0";"80.0";"109.0";"142.0";"186.0";"234.0";"287.0";"343.0";"394.0";"431.0";"476.0";"22.0";"44.0";"82.0";"106.0";"173.0";"231.0";"289.0";"385.0";"484.0";"565.0";"660.0";"62.0";"129.0";"166.0";"243.0";"320.0";"392.0";"505.0";"633.0";"735.0";"847.0";"946.0";"1035.0";"157.0";"211.0";"284.0";"364.0";"462.0"
"Приволжский фед.округ";"3011.0";"5463.0";"7983.0";"10794.0";"15265.0";"20049.0";"25637.0";"31101.0";"36141.0";"41274.0";"46135.0";"50725.0";"2994.0";"5428.0";"8251.0";"10853.0";"19745.0";"25351.0";"31254.0";"36509.0";"41777.0";"46552.0";"51092.0";"2982.0";"5863.0";"8813.0";"12164.0";"16750.0";"21934.0";"27750.0";"33526.0";"38978.0";"43957.0";"48321.0";"52985.0";"5782.0";"8783.0";"12012.0";"16761.0";"22475.0"
